год,"строительство, млрд. долл.","строительство на душу населения, долларов","строительство, млрд. долл.","рост строительства, %","доля строительства в экономике, %","доля Азии в мире, %"
текущие цены,постоянные цены 1970
1970,27.7,13.2,27.7,,5.5,12.9
1971,31.5,14.6,29.5,6.4,5.7,13.1
1972,39.8,18.2,31.7,7.7,6.0,14.0
1973,53.8,24.0,34.2,7.7,6.1,15.6
1974,62.9,27.4,33.7,-1.3,5.9,16.4
1975,78.9,33.7,36.8,9.0,6.8,17.9
1976,92.4,38.7,38.1,3.6,7.1,19.5
1977,109.8,45.1,38.6,1.2,7.1,20.7
1978,142.9,57.6,41.7,8.1,7.3,22.5
1979,159.6,63.1,43.1,3.5,7.2,22.0
1980,175.6,68.2,44.0,2.0,7.1,22.0
1981,192.3,73.1,45.4,3.2,7.2,24.2
1982,183.6,68.4,45.2,-0.49,7.1,24.3
1983,190.6,69.6,44.6,-1.3,7.0,25.6
1984,188.8,67.7,43.8,-1.9,6.6,25.4
1985,181.6,63.8,44.6,1.9,6.4,24.1
1986,234.1,80.6,46.7,4.6,6.7,25.9
1987,286.0,96.5,50.0,7.2,6.9,27.5
1988,353.4,116.9,53.6,7.2,7.2,29.7
1989,375.8,121.9,56.3,5.0,7.3,30.1
1990,417.9,130.2,62.6,11.2,7.7,30.4
1991,460.8,141.0,64.2,2.6,7.7,32.8
1992,496.1,149.2,65.1,1.4,7.5,33.9
1993,575.1,170.2,67.9,4.2,7.7,38.1
1994,595.5,173.5,68.6,1.1,7.4,37.1
1995,653.7,187.7,70.7,3.0,7.2,38.1
1996,640.2,181.2,74.5,5.4,7.2,37.0
1997,584.4,163.0,73.3,-1.6,6.8,35.1
1998,514.0,141.4,70.8,-3.4,6.6,31.4
1999,551.4,149.6,70.5,-0.45,6.3,32.5
2000,565.3,151.3,70.3,-0.30,6.0,32.7
2001,512.9,135.5,70.8,0.78,5.9,29.9
2002,510.4,133.1,72.8,2.8,5.7,29.0
2003,560.5,144.3,75.4,3.6,5.7,28.1
2004,629.0,160.0,78.8,4.5,5.6,27.5
2005,678.4,170.5,83.8,6.4,5.6,27.0
2006,746.7,185.4,91.2,8.8,5.7,26.9
2007,865.4,212.4,98.1,7.5,5.8,27.3
2008,1 014.8,246.1,101.9,3.9,5.9,29.4
2009,1 071.6,256.9,108.7,6.7,6.1,33.2
2010,1 229.0,291.2,116.4,7.1,6.0,36.1
2011,1 451.9,340.1,124.6,7.1,6.0,38.0
2012,1 560.0,361.3,131.9,5.9,6.1,39.6
2013,1 637.6,375.1,141.9,7.5,6.3,40.0
2014,1 727.5,391.4,151.2,6.5,6.5,40.7
2015,1 723.1,386.5,159.0,5.2,6.5,42.7
2016,1 802.6,400.3,168.8,6.1,6.6,43.7
2017,1 939.5,426.5,175.5,4.0,6.6,43.5
2018,2 088.6,455.1,181.2,3.2,6.6,43.8
2019,2 137.0,461.7,186.5,2.9,6.6,43.8
2020,2 113.2,453.1,184.4,-1.2,6.6,44.5
2021,2 374.8,505.9,188.3,2.1,6.5,44.6
2022,2 409.7,510.3,196.6,4.4,6.5,43.5
